,LowerBound FoldChange,Maximum Likelihood FoldChange,Upperbound FoldChange,Conservative Estimate FoldChange,Uncorrected Z-Score,Z-Score Corrected for Multiple Testing,symbol,OvaryLog2FC,WTLog2FC,UsedForOrdering,EmbryonicallyDimorphic
ENSMUSG00000021871,-8.90644559271241,-6.11374655092971,-0.830261877286749,-0.830261877286749,-2.15243443027655,-0.230016807223287,Pnp,-0.18093396404701,-1.48470393692417,no,no
ENSMUSG00000030056,-8.60453218278997,-6.26470325589091,-0.943479406007672,-0.943479406007672,-2.15411279895108,-0.230788217562688,Isy1,-0.552074396587028,-1.35633167582424,no,no
ENSMUSG00000056666,-9.01966312143331,-6.67983419453429,-0.452870114883684,-0.452870114883684,-2.16063344823209,-0.236213061011728,Retsat,-0.767348736708314,-0.966527984872823,no,yes
ENSMUSG00000022180,-6.75531254701492,-4.00035268147253,-0.339652586162761,-0.339652586162761,-2.16256879319345,-0.236512718583928,Slc7a8,-0.824360697664689,-1.2206119195745,no,no
ENSMUSG00000058070,-8.15166206790625,-5.35896302612356,-0.452870114883684,-0.452870114883684,-2.16283560796333,-0.236512718583928,Eml1,-0.51046239223486,-2.51783162972877,no,no
ENSMUSG00000032085,-9.58575076503792,-7.2459218381389,-0.415130938643373,-0.415130938643373,-2.16810959288408,-0.24338485348065,Tagln,-1.43437968950871,-3.3474237242538,no,no
ENSMUSG00000050368,-6.52887748957308,-4.00035268147253,-0.377391762403069,-0.377391762403069,-2.16965944910929,-0.243632717340852,Hoxd10,-1.5074832016052,-2.93878108947981,no,no
ENSMUSG00000020883,-7.84974865798381,-5.32122384988326,-0.528348467364296,-0.528348467364296,-2.17027555312308,-0.243632717340852,Fbxl20,0.785014157042213,-0.405957736490064,no,no
ENSMUSG00000026447,-7.66105277678228,-5.13252796868172,-0.603826819844911,-0.603826819844911,-2.17068926988665,-0.243632717340852,Pik3c2b,-1.17156835731103,-1.26782483679652,no,no
ENSMUSG00000028525,-8.49131465406903,-5.24574549740265,-0.528348467364296,-0.528348467364296,-2.17073090510621,-0.243632717340852,Pde4b,2.59986525299144,1.98767889127589,no,no
ENSMUSG00000037405,-8.79322806399147,-6.18922490341031,-0.981218582247979,-0.981218582247979,-2.17228741439619,-0.243632717340852,Icam1,1.19403050577737,-1.61472124471862,no,no
ENSMUSG00000037573,-8.26487959662719,-4.30226609139497,-0.452870114883684,-0.452870114883684,-2.17275371775491,-0.243632717340852,Tob1,-0.0911487359048893,0.583751870195449,no,yes
ENSMUSG00000019278,-8.37809712534809,-6.11374655092971,-0.452870114883684,-0.452870114883684,-2.1734511593683,-0.243632717340852,Dpep1,2.88935161352166,0.00900220456819652,no,no
ENSMUSG00000050777,-7.62331360054198,-5.05704961620112,-0.452870114883684,-0.452870114883684,-2.17517143379665,-0.244125279968094,Tmem37,0.613369091680752,-0.773659228496967,no,no
ENSMUSG00000033491,-8.52905383030933,-5.05704961620112,-0.71704434856583,-0.71704434856583,-2.17826887036207,-0.246687166968673,Prss35,-0.64821974377571,-4.58514320127716,no,no
ENSMUSG00000017466,-8.18940124414659,-5.09478879244142,-0.5660876436046,-0.5660876436046,-2.17940691574086,-0.246687166968673,Timp2,2.33194907466431,0.652494145606584,no,no
ENSMUSG00000037926,-7.51009607182104,-4.98157126372048,-0.452870114883684,-0.452870114883684,-2.18116203099994,-0.247232165768654,Ssh2,1.84085470956609,4.22362444243335,no,no
ENSMUSG00000037211,-7.1704434856583,-4.64191867755774,-0.339652586162761,-0.339652586162761,-2.18628244789899,-0.251908459887126,Spry1,2.48707321609396,-0.00569370988398682,no,no
ENSMUSG00000059645,-6.94400842821646,-3.39652586162761,-0.377391762403069,-0.377391762403069,-2.18928965505311,-0.253560359712401,Gm7361,0.29964005468382,2.57076235484826,no,no
ENSMUSG00000070933,-7.62331360054198,-4.4909619725965,-0.490609291123988,-0.490609291123988,-2.18976636667874,-0.253560359712401,Speer4d,2.05460872929467,6.17240228791111,yes,no
ENSMUSG00000008575,-5.69861561228633,-3.01913409922454,-0.339652586162761,-0.339652586162761,-2.1906539911826,-0.253560359712401,Nfib,0.33315659838929,-3.2036632905541,no,no
ENSMUSG00000035840,-9.43479406007669,-4.86835373499958,-0.5660876436046,-0.5660876436046,-2.19097130744759,-0.253560359712401,Lysmd3,-0.318263175642106,-1.38811657693851,no,no
ENSMUSG00000020190,-8.49131465406903,-3.88713515275159,-0.452870114883684,-0.452870114883684,-2.19396249481947,-0.253560359712401,Mknk2,0.0470227278159359,0.61956969633835,no,no
ENSMUSG00000050666,-6.67983419453429,-4.26452691515467,-0.452870114883684,-0.452870114883684,-2.19544282238163,-0.253560359712401,Vstm4,0.643691275130876,-0.423313276111124,no,yes
ENSMUSG00000028672,-8.41583630158843,-5.81183314100723,-0.528348467364296,-0.528348467364296,-2.1957040758856,-0.253560359712401,Hmgcl,0.281863417483571,-1.55800511365672,no,no
ENSMUSG00000004085,-8.60453218278997,-4.64191867755774,-0.5660876436046,-0.5660876436046,-2.19781971567768,-0.256453819103985,Zak,-0.203800001502324,-0.808096266767844,no,no
ENSMUSG00000024990,-7.77427030550321,-5.17026714492202,-0.603826819844911,-0.603826819844911,-2.19909313183247,-0.25711638595002,Rbp4,-0.484014254737052,-0.798741517711091,no,no
ENSMUSG00000066151,-9.20835900263485,-6.98174760445676,-0.377391762403069,-0.377391762403069,-2.19928345429235,-0.25711638595002,Fkbp15,0.632717132809569,-1.05583279637495,no,no
ENSMUSG00000003617,-8.26487959662719,-5.54765890732509,-0.792522701046445,-0.792522701046445,-2.19952707821423,-0.25711638595002,Cp,2.0336933646204,-1.62077935882674,no,no
ENSMUSG00000037126,-6.56661666581338,-4.00035268147253,-0.452870114883684,-0.452870114883684,-2.19979904794277,-0.25711638595002,Psd,-1.15687422139942,1.33168033469923,no,no
ENSMUSG00000026872,-8.71774971151087,-4.00035268147253,-0.490609291123988,-0.490609291123988,-2.20658463669416,-0.258136736416537,Zeb2,-0.233911550696052,-2.673729046485,no,no
ENSMUSG00000037664,-7.09496513317766,-4.4532227963562,-0.452870114883684,-0.452870114883684,-2.20817613372724,-0.259003425332529,Cdkn1c,-1.00101176922207,1.2641642402349,no,yes
ENSMUSG00000067931,-8.18940124414659,-4.00035268147253,-0.490609291123988,-0.490609291123988,-2.20822421330588,-0.259003425332529,Zfp948,-0.361720276538304,-3.31598900858276,no,no
ENSMUSG00000025780,-5.6231372598057,-2.98139492298424,-0.377391762403069,-0.377391762403069,-2.21178639975023,-0.265179499997421,Itih5,-0.576154400545284,-4.68420158211159,no,no
ENSMUSG00000000197,-8.00070536294505,-5.13252796868172,-0.490609291123988,-0.490609291123988,-2.21472029472079,-0.267993863730421,Nalcn,2.68500677699139,0.826467543359139,no,no
